92400,4665896876(1:1;),192299653(),1836173247(2:1;),2437926070(),2902878525(0:1;),2902878580(0:4;),3244832720(),3996125377(0:1;),3998352223(),4028922835(0:2;),4476805516(0:1;),4665617026(1:1;),4665712499(0:2;),4665891113(1:1;),4665892165(1:1;),4665897416(),4665897969(1:1;),4665903885(),4765556460(1:1;),4811385025(1:1;),4857080139(),4857081234(1:1;),4857082814(),4861489847(2:1;),4962227484(),4974633892(),4974634423(),4974635509(),4974635914(1:1;),4974636262(),4974636615(),4974637317(),4974637670(1:1;),4974638024(),4974639465(),4974639809(),4974641217(2:1;),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(),5402488769(0:2;1:2;),5456887674(),5456984290(0:1;),5494054149(),5544435560(0:1;),5567180387(),5576569593(),5633031188(0:1;),5664371117(0:1;),5844816811(),5889934721(0:1;),5912313637(0:1;),5921809619(),5950686756(2:1;),5950830609(),5960925264(),5966089485(0:1;),6000618870(),6114773114(0:1;1:1;),6119300167(),6133390513(1:1;),6133391745(),6176114691(),6176858948(1:3;),6176871439(1:4;),6183975952(),6184860354(),6184995193(2:1;),6186120532(1:1;),6186409027(),6186409254(),6206862915(),6206866677(1:1;),6206868490(),6207115053(),6219557576(),6225099547(1:5;),6233284111(),6236788405(),6238340468(1:2;),6238835298(),6238835525(),6238836357(),6238837081(1:1;),6238837822(),6238838528(),6238839290(),6238840043(),6238841354(2:1;),6238842108(),6238842343(),6238843128(),6238843875(),6238844615(2:1;),6239416246(),6239580865(2:1;),6240256777(),6240926079(),6254115034(),
92700,4665896876(0:1;),192299653(),1836173247(1:1;),2437926070(),2902878525(0:1;),2902878580(0:4;),3244832720(1:1;),3996125377(0:1;),3998352223(),4028922835(0:2;),4476805516(0:1;),4665617026(),4665712499(0:2;),4665891113(0:1;),4665892165(0:1;),4665897416(),4665897969(0:1;),4665903885(0:1;),4765556460(0:1;),4811385025(),4857080139(0:1;),4857081234(),4857082814(0:1;),4861489847(),4962227484(),4974633892(),4974634423(),4974635509(1:1;),4974635914(),4974636262(),4974636615(),4974637317(1:1;),4974637670(),4974638024(),4974639465(),4974639809(),4974641217(1:1;),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(),5402488769(0:4;),5456887674(),5456984290(0:1;),5494054149(),5544435560(),5567180387(),5576569593(),5633031188(0:1;),5664371117(0:2;),5844816811(),5889934721(),5912313637(0:1;),5921809619(),5950686756(1:1;),5950830609(),5960925264(),5966089485(),6000618870(),6114773114(0:2;),6119300167(),6133390513(0:1;),6133391745(),6176114691(),6176858948(0:3;),6176871439(0:4;),6183975952(),6184860354(),6184995193(1:1;),6186120532(0:1;),6186409027(),6186409254(),6206862915(),6206866677(0:1;),6206868490(),6207115053(),6219557576(),6225099547(0:4;),6233284111(0:1;),6236788405(),6238340468(1:1;),6238835298(),6238835525(),6238836357(1:1;),6238837081(),6238837822(),6238838528(),6238839290(),6238840043(0:1;),6238841354(),6238842108(),6238842343(),6238843128(1:1;),6238843875(),6238844615(),6239416246(1:1;),6239580865(),6240256777(),6240926079(1:1;),6254115034(),
93000,4665896876(),192299653(0:1;),1836173247(),2437926070(),2902878525(),2902878580(0:4;),3244832720(1:1;),3996125377(),3998352223(1:1;),4028922835(0:2;),4476805516(0:1;),4665617026(1:1;),4665712499(0:1;),4665891113(0:2;),4665892165(0:1;),4665897416(1:1;),4665897969(),4665903885(0:1;),4765556460(0:2;),4811385025(),4857080139(0:1;),4857081234(),4857082814(0:1;),4861489847(),4962227484(),4974633892(),4974634423(1:1;),4974635509(),4974635914(),4974636262(),4974636615(1:1;),4974637317(),4974637670(),4974638024(),4974639465(1:1;),4974639809(),4974641217(),4974641577(),4974641942(0:1;),5022579678(),5310996749(),5351575862(),5402488769(0:4;),5456887674(),5456984290(0:1;),5494054149(0:1;),5544435560(),5567180387(0:1;),5576569593(),5633031188(0:1;),5664371117(0:2;),5844816811(1:1;),5889934721(0:1;),5912313637(),5921809619(1:1;),5950686756(),5950830609(),5960925264(),5966089485(),6000618870(),6114773114(0:2;),6119300167(),6133390513(),6133391745(1:1;),6176114691(),6176858948(0:3;),6176871439(0:3;),6183975952(),6184860354(),6184995193(),6186120532(0:1;),6186409027(),6186409254(0:1;),6206862915(1:1;),6206866677(),6206868490(),6207115053(),6219557576(1:1;),6225099547(0:4;),6233284111(0:1;),6236788405(),6238340468(0:4;1:4;),6238835298(1:1;),6238835525(),6238836357(),6238837081(),6238837822(),6238838528(1:1;),6238839290(),6238840043(),6238841354(),6238842108(),6238842343(1:1;),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(),6240256777(1:1;),6240926079(),6254115034(1:1;),
93300,4665896876(1:1;),192299653(),1836173247(),2437926070(),2902878525(0:1;),2902878580(0:4;),3244832720(),3996125377(),3998352223(),4028922835(0:2;),4476805516(0:1;),4665617026(1:1;),4665712499(0:2;),4665891113(1:1;),4665892165(1:1;),4665897416(),4665897969(),4665903885(1:1;),4765556460(1:1;),4811385025(2:1;),4857080139(),4857081234(2:1;),4857082814(),4861489847(2:1;),4962227484(),4974633892(),4974634423(),4974635509(),4974635914(1:1;),4974636262(),4974636615(),4974637317(),4974637670(1:1;),4974638024(),4974639465(),4974639809(),4974641217(2:1;),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(1:1;),5402488769(0:4;),5456887674(1:1;),5456984290(),5494054149(),5544435560(1:1;),5567180387(1:1;),5576569593(),5633031188(1:1;),5664371117(1:1;),5844816811(),5889934721(1:1;),5912313637(1:1;),5921809619(),5950686756(),5950830609(1:1;),5960925264(),5966089485(1:1;),6000618870(1:1;),6114773114(1:2;),6119300167(),6133390513(),6133391745(2:1;),6176114691(),6176858948(1:3;),6176871439(1:3;),6183975952(),6184860354(),6184995193(),6186120532(1:1;),6186409027(3:1;),6186409254(),6206862915(2:1;),6206866677(),6206868490(2:1;),6207115053(2:1;),6219557576(),6225099547(1:4;),6233284111(1:1;),6236788405(),6238340468(1:1;),6238835298(),6238835525(),6238836357(),6238837081(1:1;),6238837822(),6238838528(),6238839290(),6238840043(1:1;),6238841354(),6238842108(),6238842343(),6238843128(),6238843875(1:1;),6238844615(),6239416246(),6239580865(),6240256777(),6240926079(),6254115034(),
93600,4665896876(1:1;),192299653(),1836173247(1:1;),2437926070(),2902878525(0:1;),2902878580(0:4;),3244832720(),3996125377(0:1;),3998352223(),4028922835(0:2;),4476805516(1:1;),4665617026(),4665712499(1:2;),4665891113(1:1;),4665892165(1:1;),4665897416(),4665897969(1:1;),4665903885(),4765556460(1:1;),4811385025(1:1;),4857080139(1:1;),4857081234(),4857082814(1:1;),4861489847(),4962227484(),4974633892(),4974634423(),4974635509(),4974635914(1:1;),4974636262(),4974636615(),4974637317(),4974637670(1:1;),4974638024(),4974639465(),4974639809(),4974641217(2:1;),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(),5402488769(0:5;),5456887674(),5456984290(0:1;),5494054149(),5544435560(1:1;),5567180387(),5576569593(),5633031188(1:1;),5664371117(1:1;),5844816811(),5889934721(1:1;),5912313637(1:1;),5921809619(),5950686756(2:1;),5950830609(),5960925264(),5966089485(1:1;),6000618870(),6114773114(1:2;),6119300167(),6133390513(1:1;),6133391745(),6176114691(),6176858948(1:3;),6176871439(1:3;),6183975952(),6184860354(),6184995193(1:1;),6186120532(1:1;),6186409027(),6186409254(),6206862915(),6206866677(),6206868490(),6207115053(),6219557576(),6225099547(1:5;),6233284111(),6236788405(),6238340468(1:4;),6238835298(),6238835525(),6238836357(),6238837081(1:1;),6238837822(),6238838528(),6238839290(),6238840043(),6238841354(2:1;),6238842108(),6238842343(),6238843128(),6238843875(),6238844615(2:1;),6239416246(),6239580865(1:1;),6240256777(),6240926079(),6254115034(),
93900,4665896876(),192299653(1:1;),1836173247(),2437926070(1:1;),2902878525(1:1;),2902878580(1:3;),3244832720(),3996125377(),3998352223(2:1;),4028922835(1:2;),4476805516(1:1;),4665617026(1:1;),4665712499(1:1;),4665891113(1:2;),4665892165(1:1;),4665897416(1:1;),4665897969(),4665903885(1:1;),4765556460(1:2;),4811385025(),4857080139(),4857081234(2:1;),4857082814(),4861489847(),4962227484(),4974633892(1:1;),4974634423(),4974635509(),4974635914(),4974636262(2:1;),4974636615(),4974637317(),4974637670(),4974638024(2:1;),4974639465(),4974639809(),4974641217(),4974641577(2:1;),4974641942(),5022579678(1:1;),5310996749(),5351575862(),5402488769(1:4;),5456887674(1:1;),5456984290(),5494054149(2:1;),5544435560(1:1;),5567180387(),5576569593(),5633031188(1:1;),5664371117(1:1;),5844816811(2:1;),5889934721(1:1;),5912313637(),5921809619(2:1;),5950686756(),5950830609(),5960925264(),5966089485(),6000618870(),6114773114(1:2;),6119300167(),6133390513(),6133391745(2:1;),6176114691(),6176858948(1:3;),6176871439(1:3;),6183975952(2:1;),6184860354(),6184995193(),6186120532(1:1;),6186409027(),6186409254(1:1;),6206862915(1:1;),6206866677(),6206868490(),6207115053(),6219557576(2:1;),6225099547(1:5;),6233284111(),6236788405(),6238340468(1:7;),6238835298(),6238835525(),6238836357(),6238837081(),6238837822(2:1;),6238838528(),6238839290(),6238840043(),6238841354(),6238842108(2:1;),6238842343(),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(2:1;),6240256777(),6240926079(),6254115034(1:1;),
94200,4665896876(),192299653(),1836173247(),2437926070(1:1;),2902878525(1:1;),2902878580(1:4;),3244832720(),3996125377(),3998352223(),4028922835(1:2;),4476805516(1:1;),4665617026(1:1;),4665712499(1:2;),4665891113(1:1;),4665892165(1:1;),4665897416(1:1;),4665897969(),4665903885(1:1;),4765556460(1:1;),4811385025(),4857080139(),4857081234(1:1;),4857082814(),4861489847(),4962227484(),4974633892(0:1;),4974634423(),4974635509(),4974635914(),4974636262(0:1;),4974636615(),4974637317(),4974637670(),4974638024(1:1;),4974639465(),4974639809(),4974641217(),4974641577(1:1;),4974641942(),5022579678(0:1;),5310996749(),5351575862(),5402488769(0:4;),5456887674(0:1;),5456984290(),5494054149(1:1;),5544435560(0:1;),5567180387(),5576569593(),5633031188(1:1;),5664371117(1:1;),5844816811(2:1;),5889934721(1:1;),5912313637(),5921809619(2:1;),5950686756(),5950830609(),5960925264(),5966089485(),6000618870(),6114773114(1:2;),6119300167(),6133390513(),6133391745(1:1;),6176114691(),6176858948(1:3;),6176871439(1:3;),6183975952(2:1;),6184860354(),6184995193(),6186120532(1:1;),6186409027(),6186409254(1:1;),6206862915(2:1;),6206866677(),6206868490(),6207115053(),6219557576(2:1;),6225099547(1:4;),6233284111(),6236788405(),6238340468(1:4;),6238835298(),6238835525(),6238836357(),6238837081(),6238837822(1:1;),6238838528(),6238839290(),6238840043(),6238841354(),6238842108(1:1;),6238842343(),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(2:1;),6240256777(),6240926079(),6254115034(),
94500,4665896876(),192299653(1:1;),1836173247(),2437926070(1:1;),2902878525(1:1;),2902878580(1:3;),3244832720(),3996125377(),3998352223(2:1;),4028922835(1:2;),4476805516(1:1;),4665617026(1:1;),4665712499(1:1;),4665891113(1:2;),4665892165(1:1;),4665897416(1:1;),4665897969(),4665903885(1:1;),4765556460(1:2;),4811385025(),4857080139(1:1;),4857081234(),4857082814(1:1;),4861489847(),4962227484(),4974633892(1:1;),4974634423(),4974635509(),4974635914(),4974636262(1:1;),4974636615(),4974637317(),4974637670(),4974638024(),4974639465(1:1;),4974639809(),4974641217(),4974641577(),4974641942(1:1;),5022579678(),5310996749(),5351575862(),5402488769(1:4;),5456887674(),5456984290(),5494054149(1:1;),5544435560(),5567180387(1:1;),5576569593(),5633031188(1:1;),5664371117(1:1;),5844816811(1:1;),5889934721(1:1;),5912313637(),5921809619(1:1;),5950686756(),5950830609(),5960925264(),5966089485(),6000618870(),6114773114(1:3;),6119300167(),6133390513(),6133391745(1:1;),6176114691(),6176858948(1:3;),6176871439(1:3;),6183975952(2:1;),6184860354(),6184995193(),6186120532(1:1;),6186409027(),6186409254(1:1;),6206862915(1:1;),6206866677(),6206868490(),6207115053(),6219557576(1:1;),6225099547(1:5;),6233284111(1:1;),6236788405(2:1;),6238340468(1:4;),6238835298(),6238835525(2:1;),6238836357(),6238837081(),6238837822(),6238838528(),6238839290(2:1;),6238840043(),6238841354(),6238842108(),6238842343(),6238843128(2:1;),6238843875(),6238844615(),6239416246(1:1;),6239580865(),6240256777(1:1;),6240926079(),6254115034(1:1;),
94800,4665896876(1:1;),192299653(),1836173247(),2437926070(),2902878525(1:1;),2902878580(1:4;),3244832720(),3996125377(1:1;),3998352223(),4028922835(1:2;),4476805516(1:1;),4665617026(4:1;),4665712499(1:2;),4665891113(1:1;),4665892165(1:1;),4665897416(),4665897969(2:1;),4665903885(),4765556460(2:1;),4811385025(4:1;),4857080139(),4857081234(4:1;),4857082814(),4861489847(6:1;),4962227484(),4974633892(),4974634423(),4974635509(),4974635914(2:1;),4974636262(),4974636615(),4974637317(),4974637670(2:1;),4974638024(),4974639465(),4974639809(),4974641217(5:1;),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(2:1;),5402488769(1:4;),5456887674(1:1;),5456984290(),5494054149(),5544435560(1:1;),5567180387(),5576569593(),5633031188(2:1;),5664371117(2:1;),5844816811(),5889934721(2:1;),5912313637(2:1;),5921809619(),5950686756(),5950830609(1:1;),5960925264(),5966089485(1:1;),6000618870(1:1;),6114773114(1:1;2:2;),6119300167(),6133390513(2:1;),6133391745(),6176114691(),6176858948(2:1;3:2;),6176871439(3:3;),6183975952(),6184860354(),6184995193(),6186120532(3:1;),6186409027(6:1;),6186409254(),6206862915(4:1;),6206866677(),6206868490(5:1;),6207115053(),6219557576(),6225099547(2:1;3:3;),6233284111(3:1;),6236788405(),6238340468(3:5;4:5;),6238835298(),6238835525(),6238836357(6:1;),6238837081(),6238837822(),6238838528(),6238839290(),6238840043(4:1;),6238841354(),6238842108(),6238842343(),6238843128(),6238843875(4:1;),6238844615(),6239416246(),6239580865(),6240256777(),6240926079(7:1;),6254115034(4:1;),
95100,4665896876(),192299653(3:1;),1836173247(),2437926070(4:1;),2902878525(0:1;),2902878580(0:3;),3244832720(),3996125377(),3998352223(6:1;),4028922835(0:1;1:1;),4476805516(1:1;),4665617026(4:1;),4665712499(1:1;),4665891113(1:2;),4665892165(1:1;),4665897416(4:1;),4665897969(),4665903885(1:1;),4765556460(1:2;),4811385025(),4857080139(1:1;),4857081234(),4857082814(1:1;),4861489847(),4962227484(),4974633892(),4974634423(4:1;),4974635509(),4974635914(),4974636262(),4974636615(7:1;),4974637317(),4974637670(),4974638024(),4974639465(4:1;),4974639809(),4974641217(),4974641577(),4974641942(1:1;),5022579678(),5310996749(),5351575862(),5402488769(0:3;1:1;),5456887674(),5456984290(0:1;),5494054149(4:1;),5544435560(),5567180387(3:1;4:1;),5576569593(),5633031188(1:1;),5664371117(),5844816811(5:1;),5889934721(0:1;),5912313637(1:1;),5921809619(4:1;),5950686756(),5950830609(),5960925264(4:1;),5966089485(1:2;),6000618870(),6114773114(0:1;1:1;),6119300167(4:1;),6133390513(),6133391745(5:1;),6176114691(6:1;),6176858948(1:1;2:2;),6176871439(2:1;3:2;),6183975952(),6184860354(8:1;),6184995193(),6186120532(3:1;),6186409027(),6186409254(4:1;),6206862915(7:1;),6206866677(),6206868490(),6207115053(),6219557576(4:1;),6225099547(1:5;),6233284111(),6236788405(),6238340468(2:3;),6238835298(),6238835525(8:1;),6238836357(),6238837081(),6238837822(),6238838528(5:1;),6238839290(),6238840043(),6238841354(),6238842108(),6238842343(5:1;),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(),6240256777(3:1;),6240926079(),6254115034(3:1;),
95400,4665896876(0:1;),192299653(),1836173247(),2437926070(),2902878525(0:1;),2902878580(0:4;),3244832720(),3996125377(),3998352223(),4028922835(0:2;),4476805516(0:1;),4665617026(1:1;),4665712499(0:2;),4665891113(0:1;),4665892165(0:1;),4665897416(),4665897969(),4665903885(0:1;),4765556460(0:1;),4811385025(1:1;),4857080139(),4857081234(1:1;),4857082814(0:1;),4861489847(),4962227484(),4974633892(0:1;),4974634423(),4974635509(),4974635914(),4974636262(1:1;),4974636615(),4974637317(),4974637670(),4974638024(2:1;),4974639465(),4974639809(),4974641217(),4974641577(1:1;),4974641942(),5022579678(0:1;),5310996749(),5351575862(),5402488769(0:3;1:1;),5456887674(0:1;),5456984290(),5494054149(1:1;),5544435560(1:1;),5567180387(1:1;),5576569593(),5633031188(1:1;),5664371117(1:1;),5844816811(),5889934721(1:1;),5912313637(),5921809619(2:1;),5950686756(),5950830609(),5960925264(),5966089485(),6000618870(),6114773114(1:3;),6119300167(),6133390513(),6133391745(1:1;),6176114691(),6176858948(1:3;),6176871439(1:3;),6183975952(),6184860354(2:1;),6184995193(),6186120532(1:1;),6186409027(),6186409254(1:1;),6206862915(2:1;),6206866677(),6206868490(),6207115053(),6219557576(1:2;),6225099547(1:5;),6233284111(),6236788405(),6238340468(1:4;),6238835298(),6238835525(),6238836357(),6238837081(),6238837822(1:1;),6238838528(),6238839290(),6238840043(),6238841354(),6238842108(1:1;),6238842343(),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(2:1;),6240256777(),6240926079(),6254115034(1:1;),
95700,4665896876(0:1;),192299653(),1836173247(2:1;),2437926070(),2902878525(0:1;),2902878580(0:4;),3244832720(),3996125377(0:1;),3998352223(),4028922835(0:2;),4476805516(0:1;),4665617026(1:1;),4665712499(0:2;),4665891113(0:1;),4665892165(0:1;),4665897416(),4665897969(0:1;),4665903885(),4765556460(0:1;),4811385025(1:1;),4857080139(0:1;),4857081234(1:1;),4857082814(),4861489847(2:1;),4962227484(),4974633892(),4974634423(),4974635509(),4974635914(0:1;),4974636262(),4974636615(),4974637317(),4974637670(1:1;),4974638024(),4974639465(),4974639809(),4974641217(2:1;),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(1:1;),5402488769(1:4;),5456887674(0:1;),5456984290(),5494054149(),5544435560(0:1;),5567180387(),5576569593(),5633031188(1:1;),5664371117(1:1;),5844816811(),5889934721(1:1;),5912313637(1:1;),5921809619(),5950686756(),5950830609(1:1;),5960925264(),5966089485(),6000618870(),6114773114(1:5;),6119300167(),6133390513(),6133391745(1:1;),6176114691(),6176858948(1:3;),6176871439(1:3;),6183975952(),6184860354(2:1;),6184995193(),6186120532(1:1;),6186409027(),6186409254(1:1;),6206862915(),6206866677(),6206868490(),6207115053(),6219557576(),6225099547(1:5;),6233284111(1:1;),6236788405(2:1;),6238340468(),6238835298(2:1;),6238835525(),6238836357(),6238837081(),6238837822(),6238838528(2:1;),6238839290(),6238840043(),6238841354(),6238842108(),6238842343(2:1;),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(),6240256777(1:1;),6240926079(),6254115034(),
96000,4665896876(1:1;),192299653(),1836173247(3:1;),2437926070(),2902878525(0:1;),2902878580(0:3;1:1;),3244832720(3:1;),3996125377(1:1;),3998352223(),4028922835(1:2;),4476805516(1:1;),4665617026(),4665712499(1:2;),4665891113(1:1;),4665892165(1:1;),4665897416(),4665897969(1:1;),4665903885(1:1;),4765556460(1:1;),4811385025(3:1;),4857080139(),4857081234(3:1;),4857082814(),4861489847(4:1;),4962227484(),4974633892(),4974634423(),4974635509(),4974635914(1:1;),4974636262(),4974636615(),4974637317(),4974637670(1:1;),4974638024(),4974639465(),4974639809(),4974641217(4:1;),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(1:1;),5402488769(1:5;),5456887674(1:1;),5456984290(),5494054149(),5544435560(1:1;),5567180387(2:1;),5576569593(),5633031188(2:1;),5664371117(2:1;),5844816811(),5889934721(2:1;),5912313637(2:1;),5921809619(),5950686756(),5950830609(2:1;),5960925264(),5966089485(),6000618870(),6114773114(1:2;2:2;),6119300167(),6133390513(),6133391745(2:1;),6176114691(3:1;),6176858948(2:3;),6176871439(2:2;),6183975952(),6184860354(),6184995193(),6186120532(2:1;),6186409027(4:1;),6186409254(),6206862915(3:1;),6206866677(),6206868490(4:1;),6207115053(4:1;),6219557576(3:1;),6225099547(2:6;),6233284111(2:1;),6236788405(),6238340468(2:2;),6238835298(),6238835525(),6238836357(),6238837081(),6238837822(3:1;),6238838528(),6238839290(),6238840043(),6238841354(),6238842108(3:1;),6238842343(),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(3:1;),6240256777(),6240926079(),6254115034(),
96300,4665896876(1:1;),192299653(1:1;),1836173247(),2437926070(),2902878525(),2902878580(0:4;),3244832720(2:1;),3996125377(),3998352223(2:1;),4028922835(0:2;),4476805516(0:1;),4665617026(1:1;),4665712499(0:1;),4665891113(0:1;),4665892165(1:1;),4665897416(1:1;),4665897969(),4665903885(1:1;),4765556460(1:1;),4811385025(),4857080139(1:3;),4857081234(),4857082814(1:1;),4861489847(),4962227484(2:1;),4974633892(),4974634423(),4974635509(2:1;),4974635914(),4974636262(),4974636615(),4974637317(),4974637670(1:1;),4974638024(),4974639465(),4974639809(),4974641217(2:1;),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(1:1;),5402488769(0:4;1:1;),5456887674(0:1;),5456984290(),5494054149(),5544435560(0:1;),5567180387(),5576569593(),5633031188(0:1;),5664371117(1:1;),5844816811(1:1;),5889934721(0:1;),5912313637(),5921809619(1:1;),5950686756(),5950830609(),5960925264(),5966089485(),6000618870(),6114773114(0:3;1:1;),6119300167(),6133390513(),6133391745(2:1;),6176114691(),6176858948(0:1;1:2;),6176871439(1:3;),6183975952(),6184860354(2:1;),6184995193(),6186120532(1:1;),6186409027(),6186409254(1:1;),6206862915(),6206866677(),6206868490(),6207115053(),6219557576(),6225099547(1:5;),6233284111(),6236788405(),6238340468(1:1;),6238835298(),6238835525(),6238836357(),6238837081(),6238837822(2:1;),6238838528(),6238839290(),6238840043(),6238841354(),6238842108(2:1;),6238842343(),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(),6240256777(),6240926079(),6254115034(),
96600,4665896876(1:1;),192299653(),1836173247(),2437926070(),2902878525(),2902878580(1:4;),3244832720(4:1;),3996125377(),3998352223(),4028922835(1:1;),4476805516(1:1;),4665617026(3:1;),4665712499(1:1;),4665891113(1:1;),4665892165(1:1;),4665897416(3:1;),4665897969(),4665903885(1:1;),4765556460(1:1;),4811385025(),4857080139(1:2;),4857081234(),4857082814(1:1;),4861489847(),4962227484(3:1;),4974633892(),4974634423(),4974635509(5:1;),4974635914(),4974636262(),4974636615(),4974637317(4:1;),4974637670(),4974638024(),4974639465(),4974639809(1:1;),4974641217(),4974641577(),4974641942(),5022579678(),5310996749(4:1;),5351575862(),5402488769(2:4;),5456887674(),5456984290(4:1;),5494054149(),5544435560(),5567180387(),5576569593(),5633031188(2:1;),5664371117(2:1;),5844816811(),5889934721(2:1;),5912313637(2:1;),5921809619(),5950686756(5:1;),5950830609(),5960925264(),5966089485(2:1;),6000618870(),6114773114(2:3;),6119300167(),6133390513(2:1;),6133391745(),6176114691(),6176858948(2:3;),6176871439(2:3;),6183975952(),6184860354(),6184995193(3:1;),6186120532(3:1;),6186409027(),6186409254(),6206862915(4:1;),6206866677(),6206868490(5:1;),6207115053(),6219557576(4:1;),6225099547(2:2;3:3;),6233284111(),6236788405(),6238340468(3:2;),6238835298(),6238835525(),6238836357(),6238837081(3:1;),6238837822(),6238838528(),6238839290(),6238840043(),6238841354(6:1;),6238842108(),6238842343(),6238843128(),6238843875(),6238844615(6:1;),6239416246(),6239580865(4:1;),6240256777(),6240926079(),6254115034(),
96900,4665896876(1:1;),192299653(),1836173247(4:1;),2437926070(),2902878525(1:1;),2902878580(1:4;),3244832720(4:1;),3996125377(1:1;),3998352223(),4028922835(1:2;),4476805516(1:1;),4665617026(),4665712499(1:1;),4665891113(1:1;),4665892165(1:1;),4665897416(),4665897969(1:1;),4665903885(1:1;),4765556460(2:1;),4811385025(),4857080139(2:1;),4857081234(),4857082814(2:1;),4861489847(),4962227484(),4974633892(),4974634423(),4974635509(),4974635914(2:1;),4974636262(),4974636615(),4974637317(),4974637670(2:1;),4974638024(),4974639465(),4974639809(),4974641217(5:1;),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(2:1;),5402488769(2:4;),5456887674(2:1;),5456984290(),5494054149(),5544435560(3:1;),5567180387(3:1;),5576569593(),5633031188(2:1;),5664371117(2:1;),5844816811(),5889934721(2:1;),5912313637(3:1;),5921809619(),5950686756(),5950830609(3:1;),5960925264(),5966089485(3:1;),6000618870(3:1;),6114773114(3:2;),6119300167(),6133390513(),6133391745(4:1;),6176114691(),6176858948(3:3;),6176871439(3:3;),6183975952(6:1;),6184860354(),6184995193(),6186120532(3:1;),6186409027(7:1;),6186409254(),6206862915(4:1;),6206866677(),6206868490(),6207115053(5:1;),6219557576(4:1;),6225099547(3:5;),6233284111(),6236788405(),6238340468(3:1;),6238835298(),6238835525(6:1;),6238836357(),6238837081(),6238837822(),6238838528(),6238839290(6:1;),6238840043(),6238841354(),6238842108(),6238842343(),6238843128(6:1;),6238843875(),6238844615(),6239416246(3:1;4:1;),6239580865(),6240256777(4:1;),6240926079(),6254115034(),
97200,4665896876(0:1;),192299653(),1836173247(2:1;),2437926070(),2902878525(0:1;),2902878580(0:4;),3244832720(),3996125377(0:1;),3998352223(),4028922835(0:2;),4476805516(0:1;),4665617026(2:1;),4665712499(0:2;),4665891113(0:1;),4665892165(0:1;),4665897416(),4665897969(0:1;),4665903885(),4765556460(1:1;),4811385025(2:1;),4857080139(),4857081234(2:1;),4857082814(),4861489847(3:1;),4962227484(),4974633892(),4974634423(),4974635509(),4974635914(),4974636262(2:1;),4974636615(),4974637317(),4974637670(),4974638024(3:1;),4974639465(),4974639809(),4974641217(),4974641577(2:1;),4974641942(),5022579678(),5310996749(),5351575862(),5402488769(1:4;),5456887674(1:1;),5456984290(),5494054149(2:1;),5544435560(0:1;),5567180387(),5576569593(),5633031188(1:1;),5664371117(0:1;),5844816811(3:1;),5889934721(1:1;),5912313637(),5921809619(0:1;),5950686756(),5950830609(1:1;),5960925264(),5966089485(),6000618870(),6114773114(1:3;),6119300167(),6133390513(),6133391745(2:1;),6176114691(2:1;),6176858948(1:3;),6176871439(1:3;),6183975952(),6184860354(3:1;),6184995193(),6186120532(1:1;),6186409027(),6186409254(1:1;),6206862915(2:1;),6206866677(),6206868490(),6207115053(),6219557576(),6225099547(1:4;),6233284111(1:1;),6236788405(2:1;),6238340468(1:1;),6238835298(),6238835525(),6238836357(),6238837081(),6238837822(2:1;),6238838528(),6238839290(),6238840043(),6238841354(),6238842108(2:1;),6238842343(),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(2:1;),6240256777(),6240926079(),6254115034(2:1;),
